Container_ID,Equipment_Type,Arrival_Time,Arrival_Mode,Railcar_ID,Well_Position,Blocked_By
ZIMU3444040,40_High_Cube,2026-08-27T04:34:00+00:00,Rail,TTZX888072,Bottom,ZIMU3211428
ZIMU3211428,20_Standard,2026-08-27T04:34:00+00:00,Rail,TTZX888072,Top,None
MSKU9755390,20_Standard,2026-08-27T04:34:00+00:00,Rail,TTZX143830,Bottom,SUDU7435350
SUDU7435350,40_High_Cube,2026-08-27T04:34:00+00:00,Rail,TTZX143830,Top,None
JBHU7685701,53_Dry_Van,2026-08-27T04:36:00+00:00,Rail,TTZX868829,Single,None
ZIMU3352088,40_High_Cube,2026-08-27T04:38:00+00:00,Rail,TTZX232839,Bottom,APLU6047524
APLU6047524,40_High_Cube,2026-08-27T04:38:00+00:00,Rail,TTZX232839,Top,None
SUDU1177279,40_High_Cube,2026-08-27T04:39:00+00:00,Rail,TTZX759697,Bottom,EMCU8024310
EMCU8024310,20_Standard,2026-08-27T04:39:00+00:00,Rail,TTZX759697,Top,None
MSKU1885340,40_High_Cube,2026-08-27T04:40:00+00:00,Rail,TTZX466686,Bottom,ZIMU6332300
ZIMU6332300,20_Standard,2026-08-27T04:40:00+00:00,Rail,TTZX466686,Top,None
EMCU3952096,40_High_Cube,2026-08-27T04:40:00+00:00,Rail,TTZX599532,Bottom,MSKU7159427
MSKU7159427,20_Standard,2026-08-27T04:40:00+00:00,Rail,TTZX599532,Top,None
SUDU6887099,40_High_Cube,2026-08-27T04:42:00+00:00,Rail,TTZX924444,Bottom,EMCU3151707
EMCU3151707,40_High_Cube,2026-08-27T04:42:00+00:00,Rail,TTZX924444,Top,None
JBHU5010503,53_Dry_Van,2026-08-27T04:42:00+00:00,Rail,TTZX969743,Single,None
HLCU8561599,40_High_Cube,2026-08-27T04:46:00+00:00,Rail,TTZX965997,Bottom,APLU9547816
APLU9547816,40_High_Cube,2026-08-27T04:46:00+00:00,Rail,TTZX965997,Top,None
JBHU1921179,53_Dry_Van,2026-08-27T04:47:00+00:00,Rail,TTZX768821,Single,None
MSKU8550462,40_High_Cube,2026-08-27T04:47:00+00:00,Rail,TTZX734733,Bottom,EMCU3075839
EMCU3075839,40_High_Cube,2026-08-27T04:47:00+00:00,Rail,TTZX734733,Top,None
JBHU7728608,53_Dry_Van,2026-08-27T04:48:00+00:00,Rail,TTZX280430,Single,None
EMCU1971712,40_High_Cube,2026-08-27T04:50:00+00:00,Rail,TTZX533156,Bottom,EMCU9600997
EMCU9600997,20_Standard,2026-08-27T04:50:00+00:00,Rail,TTZX533156,Top,None
EMCU1973931,40_High_Cube,2026-08-27T04:50:00+00:00,Rail,TTZX908007,Bottom,ZIMU8260066
ZIMU8260066,20_Standard,2026-08-27T04:50:00+00:00,Rail,TTZX908007,Top,None
ZIMU3064923,20_Standard,2026-08-27T04:51:00+00:00,Rail,TTZX126938,Bottom,MSKU2579577
MSKU2579577,40_High_Cube,2026-08-27T04:51:00+00:00,Rail,TTZX126938,Top,None
HLCU3865813,40_High_Cube,2026-08-27T04:52:00+00:00,Rail,TTZX743553,Bottom,APLU7427895
APLU7427895,20_Standard,2026-08-27T04:52:00+00:00,Rail,TTZX743553,Top,None
ZIMU6836759,40_High_Cube,2026-08-27T04:53:00+00:00,Rail,TTZX297478,Bottom,HLCU4630747
HLCU4630747,40_High_Cube,2026-08-27T04:53:00+00:00,Rail,TTZX297478,Top,None
MSKU9208285,40_High_Cube,2026-08-27T04:54:00+00:00,Rail,TTZX361886,Bottom,APLU7614725
APLU7614725,40_High_Cube,2026-08-27T04:54:00+00:00,Rail,TTZX361886,Top,None
JBHU3343531,53_Dry_Van,2026-08-27T04:54:00+00:00,Rail,TTZX113050,Single,None
ZIMU7736902,40_High_Cube,2026-08-27T04:55:00+00:00,Rail,TTZX571000,Bottom,HLCU3902178
HLCU3902178,40_High_Cube,2026-08-27T04:55:00+00:00,Rail,TTZX571000,Top,None
HLCU1276054,40_High_Cube,2026-08-27T04:56:00+00:00,Rail,TTZX452847,Bottom,HLCU5828980
HLCU5828980,40_High_Cube,2026-08-27T04:56:00+00:00,Rail,TTZX452847,Top,None
SUDU6043082,40_High_Cube,2026-08-27T04:57:00+00:00,Rail,TTZX214387,Bottom,MSKU7567619
MSKU7567619,40_High_Cube,2026-08-27T04:57:00+00:00,Rail,TTZX214387,Top,None
HLCU7866356,40_High_Cube,2026-08-27T04:57:00+00:00,Rail,TTZX418009,Bottom,ZIMU1626873
ZIMU1626873,20_Standard,2026-08-27T04:57:00+00:00,Rail,TTZX418009,Top,None
JBHU3038380,53_Dry_Van,2026-08-27T04:58:00+00:00,Rail,TTZX477604,Single,None
JBHU3125967,53_Dry_Van,2026-08-27T04:58:00+00:00,Rail,TTZX191544,Single,None
SUDU4370316,40_High_Cube,2026-08-27T05:01:00+00:00,Rail,TTZX326928,Bottom,EMCU4354102
EMCU4354102,40_High_Cube,2026-08-27T05:01:00+00:00,Rail,TTZX326928,Top,None
ZIMU9888669,40_High_Cube,2026-08-27T05:01:00+00:00,Rail,TTZX229733,Bottom,EMCU5073692
EMCU5073692,40_High_Cube,2026-08-27T05:01:00+00:00,Rail,TTZX229733,Top,None
SUDU5420915,20_Standard,2026-08-27T05:02:00+00:00,Rail,TTZX350084,Bottom,SUDU5653584
SUDU5653584,40_High_Cube,2026-08-27T05:02:00+00:00,Rail,TTZX350084,Top,None
JBHU8825583,53_Dry_Van,2026-08-27T05:02:00+00:00,Gate,None,None,None
SCHU2124890,53_Dry_Van,2026-08-27T05:03:00+00:00,Rail,TTZX881405,Single,None
MSKU3880841,40_High_Cube,2026-08-27T05:03:00+00:00,Gate,None,None,None
SCHU5853999,53_Dry_Van,2026-08-27T05:03:00+00:00,Gate,None,None,None
EMCU2620646,40_High_Cube,2026-08-27T05:03:00+00:00,Gate,None,None,None
JBHU2924655,53_Dry_Van,2026-08-27T05:04:00+00:00,Rail,TTZX534395,Single,None
HLCU1360479,40_High_Cube,2026-08-27T05:05:00+00:00,Rail,TTZX696700,Bottom,EMCU8055136
EMCU8055136,20_Standard,2026-08-27T05:05:00+00:00,Rail,TTZX696700,Top,None
SCHU2440965,53_Dry_Van,2026-08-27T05:06:00+00:00,Rail,TTZX149150,Single,None
JBHU7165504,53_Dry_Van,2026-08-27T05:06:00+00:00,Gate,None,None,None
APLU9815673,20_Standard,2026-08-27T05:06:00+00:00,Gate,None,None,None
SUDU9056416,40_High_Cube,2026-08-27T05:06:00+00:00,Gate,None,None,None
JBHU6218301,53_Dry_Van,2026-08-27T05:07:00+00:00,Rail,TTZX745278,Single,None
JBHU6183226,53_Dry_Van,2026-08-27T05:07:00+00:00,Rail,TTZX311127,Single,None
JBHU2775891,53_Dry_Van,2026-08-27T05:07:00+00:00,Gate,None,None,None
HLCU5890250,20_Standard,2026-08-27T05:07:00+00:00,Gate,None,None,None
SCHU7208130,53_Dry_Van,2026-08-27T05:07:00+00:00,Gate,None,None,None
ZIMU5065560,40_High_Cube,2026-08-27T05:08:00+00:00,Rail,TTZX635674,Bottom,MSKU5614814
MSKU5614814,40_High_Cube,2026-08-27T05:08:00+00:00,Rail,TTZX635674,Top,None
SCHU1246750,53_Dry_Van,2026-08-27T05:08:00+00:00,Gate,None,None,None
ZIMU8749397,40_High_Cube,2026-08-27T05:11:00+00:00,Gate,None,None,None
ZIMU7245880,40_High_Cube,2026-08-27T05:12:00+00:00,Rail,TTZX663016,Bottom,APLU6733078
APLU6733078,40_High_Cube,2026-08-27T05:12:00+00:00,Rail,TTZX663016,Top,None
MSKU1848882,20_Standard,2026-08-27T05:12:00+00:00,Rail,TTZX696599,Bottom,SUDU6751991
SUDU6751991,40_High_Cube,2026-08-27T05:12:00+00:00,Rail,TTZX696599,Top,None
ZIMU3219630,40_High_Cube,2026-08-27T05:12:00+00:00,Gate,None,None,None
HLCU3880546,20_Standard,2026-08-27T05:13:00+00:00,Gate,None,None,None
HLCU6331200,40_High_Cube,2026-08-27T05:14:00+00:00,Gate,None,None,None
JBHU7976667,53_Dry_Van,2026-08-27T05:15:00+00:00,Rail,TTZX409398,Single,None
APLU9686848,20_Standard,2026-08-27T05:18:00+00:00,Gate,None,None,None
SUDU4191476,20_Standard,2026-08-27T05:19:00+00:00,Rail,TTZX850161,Bottom,EMCU2757808
EMCU2757808,20_Standard,2026-08-27T05:19:00+00:00,Rail,TTZX850161,Top,None
SUDU5074535,20_Standard,2026-08-27T05:19:00+00:00,Rail,TTZX588274,Bottom,MSKU2985175
MSKU2985175,40_High_Cube,2026-08-27T05:19:00+00:00,Rail,TTZX588274,Top,None
EMCU7373256,40_High_Cube,2026-08-27T05:19:00+00:00,Gate,None,None,None
JBHU6071890,53_Dry_Van,2026-08-27T05:19:00+00:00,Gate,None,None,None
SUDU2695020,20_Standard,2026-08-27T05:20:00+00:00,Gate,None,None,None
SCHU4350259,53_Dry_Van,2026-08-27T05:21:00+00:00,Rail,TTZX415857,Single,None
SUDU1718075,40_High_Cube,2026-08-27T05:21:00+00:00,Rail,TTZX650452,Bottom,ZIMU7560520
ZIMU7560520,40_High_Cube,2026-08-27T05:21:00+00:00,Rail,TTZX650452,Top,None
SCHU4402650,53_Dry_Van,2026-08-27T05:21:00+00:00,Rail,TTZX926319,Single,None
ZIMU4815470,40_High_Cube,2026-08-27T05:21:00+00:00,Gate,None,None,None
ZIMU4114356,40_High_Cube,2026-08-27T05:23:00+00:00,Gate,None,None,None
SCHU9567231,53_Dry_Van,2026-08-27T05:24:00+00:00,Rail,TTZX242411,Single,None
SCHU4809899,53_Dry_Van,2026-08-27T05:24:00+00:00,Gate,None,None,None
ZIMU1715780,40_High_Cube,2026-08-27T05:24:00+00:00,Gate,None,None,None
SUDU4592479,40_High_Cube,2026-08-27T05:24:00+00:00,Gate,None,None,None
SUDU6179870,20_Standard,2026-08-27T05:24:00+00:00,Gate,None,None,None
EMCU8762695,40_High_Cube,2026-08-27T05:25:00+00:00,Rail,TTZX817231,Bottom,SUDU9685229
SUDU9685229,40_High_Cube,2026-08-27T05:25:00+00:00,Rail,TTZX817231,Top,None
SCHU3111028,53_Dry_Van,2026-08-27T05:25:00+00:00,Gate,None,None,None
SUDU7031661,40_High_Cube,2026-08-27T05:25:00+00:00,Gate,None,None,None
HLCU8022386,40_High_Cube,2026-08-27T05:25:00+00:00,Gate,None,None,None
JBHU4192569,53_Dry_Van,2026-08-27T05:25:00+00:00,Gate,None,None,None
SUDU5802780,40_High_Cube,2026-08-27T05:26:00+00:00,Rail,TTZX851769,Bottom,SUDU3842193
SUDU3842193,40_High_Cube,2026-08-27T05:26:00+00:00,Rail,TTZX851769,Top,None
SUDU7815597,40_High_Cube,2026-08-27T05:26:00+00:00,Rail,TTZX835485,Bottom,EMCU2307396
EMCU2307396,40_High_Cube,2026-08-27T05:26:00+00:00,Rail,TTZX835485,Top,None
APLU9473544,40_High_Cube,2026-08-27T05:26:00+00:00,Rail,TTZX579605,Bottom,HLCU5603900
HLCU5603900,20_Standard,2026-08-27T05:26:00+00:00,Rail,TTZX579605,Top,None
SCHU7288433,53_Dry_Van,2026-08-27T05:26:00+00:00,Gate,None,None,None
JBHU1864551,53_Dry_Van,2026-08-27T05:26:00+00:00,Gate,None,None,None
HLCU7452593,40_High_Cube,2026-08-27T05:28:00+00:00,Rail,TTZX826836,Bottom,ZIMU6827799
ZIMU6827799,40_High_Cube,2026-08-27T05:28:00+00:00,Rail,TTZX826836,Top,None
SCHU9654790,53_Dry_Van,2026-08-27T05:28:00+00:00,Rail,TTZX848211,Single,None
MSKU5848448,40_High_Cube,2026-08-27T05:29:00+00:00,Rail,TTZX744712,Bottom,EMCU6199221
EMCU6199221,20_Standard,2026-08-27T05:29:00+00:00,Rail,TTZX744712,Top,None
EMCU6231771,20_Standard,2026-08-27T05:29:00+00:00,Rail,TTZX501279,Bottom,MSKU8179691
MSKU8179691,40_High_Cube,2026-08-27T05:29:00+00:00,Rail,TTZX501279,Top,None
MSKU6023605,40_High_Cube,2026-08-27T05:29:00+00:00,Gate,None,None,None
HLCU8505018,40_High_Cube,2026-08-27T05:30:00+00:00,Gate,None,None,None
MSKU8536166,40_High_Cube,2026-08-27T05:30:00+00:00,Gate,None,None,None
EMCU7451451,40_High_Cube,2026-08-27T05:31:00+00:00,Rail,TTZX294776,Bottom,ZIMU9739665
ZIMU9739665,20_Standard,2026-08-27T05:31:00+00:00,Rail,TTZX294776,Top,None
SUDU9350966,20_Standard,2026-08-27T05:31:00+00:00,Gate,None,None,None
EMCU2091183,40_High_Cube,2026-08-27T05:32:00+00:00,Rail,TTZX107034,Bottom,MSKU4183522
MSKU4183522,40_High_Cube,2026-08-27T05:32:00+00:00,Rail,TTZX107034,Top,None
JBHU3227850,53_Dry_Van,2026-08-27T05:33:00+00:00,Rail,TTZX586644,Single,None
SCHU9378140,53_Dry_Van,2026-08-27T05:33:00+00:00,Rail,TTZX393581,Single,None
JBHU1991598,53_Dry_Van,2026-08-27T05:33:00+00:00,Gate,None,None,None
SUDU8107798,20_Standard,2026-08-27T05:35:00+00:00,Rail,TTZX759513,Bottom,HLCU5613467
HLCU5613467,40_High_Cube,2026-08-27T05:35:00+00:00,Rail,TTZX759513,Top,None
SCHU5803658,53_Dry_Van,2026-08-27T05:36:00+00:00,Gate,None,None,None
SCHU4098846,53_Dry_Van,2026-08-27T05:36:00+00:00,Gate,None,None,None
HLCU9916440,20_Standard,2026-08-27T05:37:00+00:00,Rail,TTZX810840,Bottom,HLCU8972774
HLCU8972774,20_Standard,2026-08-27T05:37:00+00:00,Rail,TTZX810840,Top,None
MSKU5009900,20_Standard,2026-08-27T05:37:00+00:00,Rail,TTZX793327,Bottom,MSKU5534827
MSKU5534827,20_Standard,2026-08-27T05:37:00+00:00,Rail,TTZX793327,Top,None
JBHU1493933,53_Dry_Van,2026-08-27T05:38:00+00:00,Gate,None,None,None
HLCU9084335,40_High_Cube,2026-08-27T05:38:00+00:00,Gate,None,None,None
MSKU7528206,40_High_Cube,2026-08-27T05:39:00+00:00,Rail,TTZX341275,Bottom,SUDU1634992
SUDU1634992,40_High_Cube,2026-08-27T05:39:00+00:00,Rail,TTZX341275,Top,None
JBHU4828809,53_Dry_Van,2026-08-27T05:39:00+00:00,Rail,TTZX310990,Single,None
JBHU6314115,53_Dry_Van,2026-08-27T05:39:00+00:00,Rail,TTZX430565,Single,None
MSKU3692211,40_High_Cube,2026-08-27T05:40:00+00:00,Gate,None,None,None
HLCU6946354,40_High_Cube,2026-08-27T05:42:00+00:00,Rail,TTZX636857,Bottom,HLCU4805526
HLCU4805526,40_High_Cube,2026-08-27T05:42:00+00:00,Rail,TTZX636857,Top,None
SCHU6764598,53_Dry_Van,2026-08-27T05:43:00+00:00,Rail,TTZX906045,Single,None
MSKU5392276,40_High_Cube,2026-08-27T05:43:00+00:00,Rail,TTZX845220,Bottom,MSKU9579080
MSKU9579080,40_High_Cube,2026-08-27T05:43:00+00:00,Rail,TTZX845220,Top,None
JBHU1110356,53_Dry_Van,2026-08-27T05:43:00+00:00,Rail,TTZX252634,Single,None
ZIMU2918925,40_High_Cube,2026-08-27T05:44:00+00:00,Rail,TTZX923903,Bottom,MSKU8721380
MSKU8721380,40_High_Cube,2026-08-27T05:44:00+00:00,Rail,TTZX923903,Top,None
SCHU4596582,53_Dry_Van,2026-08-27T05:44:00+00:00,Rail,TTZX302654,Single,None
HLCU4616287,40_High_Cube,2026-08-27T05:44:00+00:00,Rail,TTZX249980,Bottom,EMCU7250694
EMCU7250694,20_Standard,2026-08-27T05:44:00+00:00,Rail,TTZX249980,Top,None
MSKU9266785,40_High_Cube,2026-08-27T05:44:00+00:00,Gate,None,None,None
SCHU8757638,53_Dry_Van,2026-08-27T05:45:00+00:00,Rail,TTZX679714,Single,None
MSKU2403823,40_High_Cube,2026-08-27T05:45:00+00:00,Rail,TTZX609018,Bottom,MSKU2728198
MSKU2728198,40_High_Cube,2026-08-27T05:45:00+00:00,Rail,TTZX609018,Top,None
SCHU8039923,53_Dry_Van,2026-08-27T05:46:00+00:00,Rail,TTZX405892,Single,None
ZIMU8547204,40_High_Cube,2026-08-27T05:46:00+00:00,Gate,None,None,None
SUDU7400590,20_Standard,2026-08-27T05:46:00+00:00,Gate,None,None,None
EMCU5876101,40_High_Cube,2026-08-27T05:47:00+00:00,Rail,TTZX294694,Bottom,EMCU7466153
EMCU7466153,40_High_Cube,2026-08-27T05:47:00+00:00,Rail,TTZX294694,Top,None
EMCU3078015,40_High_Cube,2026-08-27T05:48:00+00:00,Gate,None,None,None
JBHU3573386,53_Dry_Van,2026-08-27T05:49:00+00:00,Gate,None,None,None
HLCU6646486,40_High_Cube,2026-08-27T05:50:00+00:00,Rail,TTZX944360,Bottom,EMCU8199180
EMCU8199180,20_Standard,2026-08-27T05:50:00+00:00,Rail,TTZX944360,Top,None
ZIMU9758562,40_High_Cube,2026-08-27T05:50:00+00:00,Gate,None,None,None
SCHU4265692,53_Dry_Van,2026-08-27T05:50:00+00:00,Gate,None,None,None
APLU6187491,40_High_Cube,2026-08-27T05:51:00+00:00,Gate,None,None,None
JBHU3524329,53_Dry_Van,2026-08-27T05:51:00+00:00,Gate,None,None,None
SCHU3326160,53_Dry_Van,2026-08-27T05:51:00+00:00,Gate,None,None,None
SCHU8051873,53_Dry_Van,2026-08-27T05:52:00+00:00,Gate,None,None,None
EMCU8811212,20_Standard,2026-08-27T05:53:00+00:00,Gate,None,None,None
MSKU7846953,40_High_Cube,2026-08-27T05:54:00+00:00,Gate,None,None,None
EMCU3733631,40_High_Cube,2026-08-27T05:55:00+00:00,Rail,TTZX590301,Bottom,ZIMU5859148
ZIMU5859148,40_High_Cube,2026-08-27T05:55:00+00:00,Rail,TTZX590301,Top,None
MSKU8104141,40_High_Cube,2026-08-27T05:55:00+00:00,Rail,TTZX924673,Bottom,MSKU3093872
MSKU3093872,40_High_Cube,2026-08-27T05:55:00+00:00,Rail,TTZX924673,Top,None
ZIMU8069050,20_Standard,2026-08-27T05:56:00+00:00,Rail,TTZX570882,Bottom,MSKU4071585
MSKU4071585,40_High_Cube,2026-08-27T05:56:00+00:00,Rail,TTZX570882,Top,None
SUDU5956180,40_High_Cube,2026-08-27T05:56:00+00:00,Gate,None,None,None
ZIMU2771351,20_Standard,2026-08-27T05:57:00+00:00,Rail,TTZX927925,Bottom,ZIMU9853750
ZIMU9853750,20_Standard,2026-08-27T05:57:00+00:00,Rail,TTZX927925,Top,None
EMCU6037088,20_Standard,2026-08-27T05:57:00+00:00,Rail,TTZX857441,Bottom,ZIMU8331513
ZIMU8331513,40_High_Cube,2026-08-27T05:57:00+00:00,Rail,TTZX857441,Top,None
SCHU7790354,53_Dry_Van,2026-08-27T05:58:00+00:00,Rail,TTZX536574,Single,None
APLU2741769,20_Standard,2026-08-27T05:58:00+00:00,Gate,None,None,None
JBHU3359374,53_Dry_Van,2026-08-27T05:58:00+00:00,Gate,None,None,None
JBHU5770297,53_Dry_Van,2026-08-27T05:58:00+00:00,Gate,None,None,None
MSKU8037383,40_High_Cube,2026-08-27T05:59:00+00:00,Rail,TTZX581627,Bottom,APLU5781678
APLU5781678,40_High_Cube,2026-08-27T05:59:00+00:00,Rail,TTZX581627,Top,None
EMCU2716368,40_High_Cube,2026-08-27T05:59:00+00:00,Gate,None,None,None
SCHU6908859,53_Dry_Van,2026-08-27T06:00:00+00:00,Gate,None,None,None
JBHU4202760,53_Dry_Van,2026-08-27T06:00:00+00:00,Gate,None,None,None
MSKU9665445,40_High_Cube,2026-08-27T06:00:00+00:00,Gate,None,None,None
SCHU7062981,53_Dry_Van,2026-08-27T06:01:00+00:00,Gate,None,None,None
JBHU7223220,53_Dry_Van,2026-08-27T06:02:00+00:00,Gate,None,None,None
MSKU4036990,20_Standard,2026-08-27T06:03:00+00:00,Gate,None,None,None
APLU6355091,40_High_Cube,2026-08-27T06:03:00+00:00,Gate,None,None,None
SCHU4047031,53_Dry_Van,2026-08-27T06:05:00+00:00,Gate,None,None,None
ZIMU3360843,40_High_Cube,2026-08-27T06:06:00+00:00,Gate,None,None,None
APLU5922890,40_High_Cube,2026-08-27T06:07:00+00:00,Gate,None,None,None
MSKU6267751,20_Standard,2026-08-27T06:07:00+00:00,Gate,None,None,None
SUDU5811083,40_High_Cube,2026-08-27T06:08:00+00:00,Gate,None,None,None
MSKU2905694,40_High_Cube,2026-08-27T06:09:00+00:00,Gate,None,None,None
ZIMU6240327,40_High_Cube,2026-08-27T06:09:00+00:00,Gate,None,None,None
EMCU2515039,20_Standard,2026-08-27T06:10:00+00:00,Gate,None,None,None
SCHU9856980,53_Dry_Van,2026-08-27T06:12:00+00:00,Gate,None,None,None
APLU9135887,40_High_Cube,2026-08-27T06:17:00+00:00,Gate,None,None,None
JBHU3997194,53_Dry_Van,2026-08-27T06:17:00+00:00,Gate,None,None,None
EMCU7525805,40_High_Cube,2026-08-27T06:23:00+00:00,Gate,None,None,None
HLCU2618911,40_High_Cube,2026-08-27T06:24:00+00:00,Gate,None,None,None
MSKU1292617,40_High_Cube,2026-08-27T06:25:00+00:00,Gate,None,None,None
JBHU7611632,53_Dry_Van,2026-08-27T06:26:00+00:00,Gate,None,None,None
EMCU4366084,40_High_Cube,2026-08-27T06:26:00+00:00,Gate,None,None,None
EMCU7023670,20_Standard,2026-08-27T06:28:00+00:00,Gate,None,None,None
MSKU5308666,20_Standard,2026-08-27T06:28:00+00:00,Gate,None,None,None
SUDU4157390,40_High_Cube,2026-08-27T06:30:00+00:00,Gate,None,None,None
SUDU8298842,40_High_Cube,2026-08-27T06:30:00+00:00,Gate,None,None,None
JBHU3362819,53_Dry_Van,2026-08-27T06:31:00+00:00,Gate,None,None,None
ZIMU6463906,40_High_Cube,2026-08-27T06:32:00+00:00,Gate,None,None,None
HLCU7578560,40_High_Cube,2026-08-27T06:33:00+00:00,Gate,None,None,None
EMCU4399149,40_High_Cube,2026-08-27T06:36:00+00:00,Gate,None,None,None
JBHU4028468,53_Dry_Van,2026-08-27T06:38:00+00:00,Gate,None,None,None
EMCU7234517,20_Standard,2026-08-27T06:39:00+00:00,Gate,None,None,None
SCHU7667709,53_Dry_Van,2026-08-27T06:39:00+00:00,Gate,None,None,None
JBHU5533973,53_Dry_Van,2026-08-27T06:40:00+00:00,Gate,None,None,None
